"Seth Anandram Jaipuria, Ghaziabad",,Ghaziabad
"Springvalley Public School, Ghaziabad",,Ghaziabad
"St. Francis School, Ghaziabad",,Ghaziabad
"St. Pauls Academy, Ghaziabad",,Ghaziabad
"A.V Senior Secondary School, Ghumarwin",,Ghumarwin
"Make India School, Giridih",,Giridih
"Saluja Gold International, Giridih ",,Giridih
"Fr Agnel Central School, Goa",,Goa
"Sunshine World Wide School, Goa",,Goa
"Goalpara English School, Goalpara",,Goalpara
"Mother Marry School, Goalpara",,Goalpara
"Sacred Heart School, Golaghat",,Golaghat
"Jawahar Navodaya Vidyalaya, Gondia",,Gondia
"G. N. National Public School, Gorakhpur",,Gorakhpur
"Little Flower School, Gorakhpur",,Gorakhpur
